Task ID,Task Name,Module,Assigned To,Start Date,Deadline,Status,Progress %,Remarks,Priority
HC-043,Role-Based Access Control Enhancement,Backend Development,Pollob,24-Apr-2026,28-Apr-2026,Completed,100%,Decorator-based permission checks,High
HC-044,User Profile Management & Settings,Frontend + Backend,Afrin & Pollob,26-Apr-2026,30-Apr-2026,Completed,100%,Edit profile change password avatar upload,Medium
"━━━━━━━━━━━━━ PHASE 6: TESTING & BUG FIXING (MAY 1-15, 2026) ━━━━━━━━━━━━━","","","","","","","","",""
HC-045,Unit Testing - Backend APIs (Pytest),Testing,Pollob,01-May-2026,05-May-2026,In Progress,80%,Test cases for all API endpoints,High
HC-046,Unit Testing - Frontend Components (Jest),Testing,Afrin,02-May-2026,06-May-2026,In Progress,70%,Component rendering & interaction tests,High
HC-047,Integration Testing - Booking Flow End-to-End,Testing,Shihab,03-May-2026,07-May-2026,In Progress,50%,Patient books doctor prescribes billing flow,High
HC-048,Database Query Optimization & Indexing,Database Performance,Shihab,04-May-2026,08-May-2026,Pending,0%,Slow query analysis index creation,High
HC-049,API Security Testing (SQL Injection XSS CSRF),Testing,Pollob,06-May-2026,10-May-2026,Pending,0%,Security vulnerability scan,High
HC-050,Bug Tracking & Fixing - Priority 1 (Critical),Bug Fixing,All Members,08-May-2026,12-May-2026,Pending,0%,Critical bugs from testing phase,High
HC-051,Bug Fixing - Priority 2 & 3 (Medium & Low),Bug Fixing,All Members,10-May-2026,14-May-2026,Pending,0%,UI fixes minor logic errors,Medium
HC-052,Cross-Browser Testing (Chrome Firefox Edge),Testing,Afrin,11-May-2026,14-May-2026,Pending,0%,Browser compatibility check,Medium
HC-053,Responsive Design Testing (Mobile Tablet),Testing,Afrin,12-May-2026,15-May-2026,Pending,0%,All screen sizes responsive,Medium
"━━━━━━━━━━━━━ PHASE 7: DEPLOYMENT & DOCUMENTATION (MAY 16-31, 2026) ━━━━━━━━━━━━━","","","","","","","","",""
HC-054,Production Environment Configuration,Deployment,Pollob,16-May-2026,18-May-2026,Pending,0%,Environment variables production settings,High
HC-055,Frontend Build & Optimization for Production,Deployment,Afrin,17-May-2026,19-May-2026,Pending,0%,npm run build minification bundling,High
HC-056,Backend Deployment (AWS EC2 / Render),Deployment,Pollob,18-May-2026,21-May-2026,Pending,0%,Gunicorn Nginx supervisor setup,High
HC-057,PostgreSQL Database Deployment (AWS RDS / Supabase),Deployment,Shihab,19-May-2026,22-May-2026,Pending,0%,Production database migration data seeding,High
HC-058,Frontend Deployment (Vercel / Netlify),Deployment,Afrin,20-May-2026,22-May-2026,Pending,0%,Domain SSL configuration,High
HC-059,SSL Certificate & Custom Domain Setup,Deployment,Shihab,21-May-2026,23-May-2026,Pending,0%,HTTPS enforced domain pointed,Medium
HC-060,Full System Integration Testing (Production),Testing,All Members,23-May-2026,25-May-2026,Pending,0%,End-to-end testing on live server,High
HC-061,Project Report - Chapter 1 & 2 (Final),Documentation,Shihab,22-May-2026,27-May-2026,Pending,0%,Introduction & Literature Review,High
HC-062,Project Report - Chapter 3 & 4 (Methodology & Implementation),Documentation,Pollob,24-May-2026,29-May-2026,Pending,0%,System architecture code snippets,High
HC-063,Project Report - Chapter 5 & 6 (Testing & Conclusion),Documentation,Shihab,26-May-2026,31-May-2026,Pending,0%,Results discussion future work,High
HC-064,User Manual & System Documentation,Documentation,Afrin,27-May-2026,31-May-2026,Pending,0%,Step-by-step guide with screenshots,Medium
"━━━━━━━━━━━━━ PHASE 8: FINAL PRESENTATION (JUNE 1-15, 2026) ━━━━━━━━━━━━━","","","","","","","","",""
HC-065,Project Report Formatting & Plagiarism Check,Documentation,Shihab,01-Jun-2026,04-Jun-2026,Pending,0%,Turnitin check report binding,High
HC-066,Final Presentation Slides Creation (Draft),Presentation,All Members,02-Jun-2026,06-Jun-2026,Pending,0%,20-25 professional slides,High
HC-067,Project Demo Video Recording,Presentation,Afrin,04-Jun-2026,08-Jun-2026,Pending,0%,Screen recording with voiceover 5-7 mins,High
HC-068,Live Demo Preparation & Dry Run,Presentation,Pollob,06-Jun-2026,10-Jun-2026,Pending,0%,Complete flow demonstration practice,High
HC-069,Presentation Slide Review & Polish,Presentation,All Members,08-Jun-2026,11-Jun-2026,Pending,0%,Feedback incorporation final touches,High
HC-070,Q&A Preparation (Expected Questions),Presentation,All Members,09-Jun-2026,12-Jun-2026,Pending,0%,Common viva questions answers preparation,Medium
HC-071,Final Presentation Rehearsal (Full Run),Presentation,All Members,11-Jun-2026,13-Jun-2026,Pending,0%,Complete dress rehearsal with timing,High
HC-072,Source Code Final Commit & GitHub Repository,Documentation,Pollob,12-Jun-2026,14-Jun-2026,Pending,0%,README documentation license,High
HC-073,Final Project Submission (Report + Code),Documentation,Shihab,13-Jun-2026,15-Jun-2026,Pending,0%,Hard copy soft copy CD,High
HC-074,Final Defense Day - Presentation & Viva,Presentation,All Members,15-Jun-2026,15-Jun-2026,Pending,0%,🎯 PROJECT DEFENSE DAY,High
"━━━━━━━━━━━━━ MILESTONES & DEADLINES SUMMARY ━━━━━━━━━━━━━","","","","","","","","",""
HC-M1,MILESTONE: Database Design Complete,,Shihab,,14-Mar-2026,Achieved,100%,✔ All tables created & populated,High
HC-M2,MILESTONE: Backend Core API Complete,,Pollob,,28-Mar-2026,Achieved,100%,✔ All major APIs functional,High
HC-M3,MILESTONE: Frontend All Pages Complete,,Afrin,,11-Apr-2026,Achieved,100%,✔ All UI pages developed,High
HC-M4,MILESTONE: Advanced Features Complete,,All Members,,30-Apr-2026,Achieved,100%,✔ Reports notifications payment,High
HC-M5,MILESTONE: Testing Phase Complete,,All Members,,15-May-2026,Upcoming,70%,🔄 Currently in testing,High
HC-M6,MILESTONE: Production Deployment,,All Members,,25-May-2026,Upcoming,0%,📅 Scheduled,High
HC-M7,MILESTONE: Final Report Submission,,All Members,,15-Jun-2026,Upcoming,0%,📅 Deadline,High
HC-M8,MILESTONE: Final Defense Day,,All Members,,15-Jun-2026,Upcoming,0%,🎤 Presentation Day,High
